# Downloaded from http://climate.nasa.gov/system/internal_resources/details/original/647_Global_Temperature_Data_File.txt
# On 7 Jan 2016
# Global Land-Ocean Temperature Index (C) (Anomaly with Base: 1951-1980)
# ------------------------------------------------------------------------
#  Year  Annual_Mean 5-year_Mean
#----------------------------------
 Year     Annual    Moving5yrAverage
 1880     -0.20        NA
 1881     -0.11        NA
 1882     -0.10     -0.18
 1883     -0.20     -0.20
 1884     -0.28     -0.24
 1885     -0.31     -0.29
 1886     -0.31     -0.29
 1887     -0.33     -0.25
 1888     -0.20     -0.27
 1889     -0.12     -0.25
 1890     -0.37     -0.24
 1891     -0.24     -0.26
 1892     -0.26     -0.29
 1893     -0.29     -0.26
 1894     -0.30     -0.24
 1895     -0.21     -0.21
 1896     -0.14     -0.21
 1897     -0.11     -0.18
 1898     -0.29     -0.16
 1899     -0.16     -0.16
 1900     -0.09     -0.19
 1901     -0.14     -0.21
 1902     -0.28     -0.26
 1903     -0.36     -0.30
 1904     -0.44     -0.32
 1905     -0.28     -0.34
 1906     -0.22     -0.36
 1907     -0.40     -0.36
 1908     -0.43     -0.39
 1909     -0.47     -0.44
 1910     -0.43     -0.43
 1911     -0.45     -0.41
 1912     -0.35     -0.34
 1913     -0.34     -0.28
 1914     -0.16     -0.26
 1915     -0.11     -0.27
 1916     -0.34     -0.25
 1917     -0.40     -0.26
 1918     -0.25     -0.29
 1919     -0.22     -0.27
 1920     -0.26     -0.24
 1921     -0.20     -0.24
 1922     -0.27     -0.25
 1923     -0.23     -0.24
 1924     -0.27     -0.22
 1925     -0.20     -0.20
 1926     -0.10     -0.20
 1927     -0.21     -0.22
 1928     -0.22     -0.21
 1929     -0.36     -0.21
 1930     -0.14     -0.20
 1931     -0.10     -0.21
 1932     -0.17     -0.17
 1933     -0.29     -0.18
 1934     -0.14     -0.19
 1935     -0.20     -0.16
 1936     -0.15     -0.11
 1937     -0.02     -0.09
 1938     -0.03     -0.03
 1939     -0.03      0.02
 1940      0.08      0.05
 1941      0.12      0.08
 1942      0.10      0.14
 1943      0.13      0.14
 1944      0.25      0.11
 1945      0.12      0.08
 1946     -0.04      0.04
 1947     -0.04     -0.03
 1948     -0.10     -0.09
 1949     -0.10     -0.10
 1950     -0.18     -0.09
 1951     -0.07     -0.05
 1952      0.01     -0.06
 1953      0.08     -0.05
 1954     -0.12     -0.07
 1955     -0.14     -0.07
 1956     -0.19     -0.07
 1957      0.04     -0.04
 1958      0.06     -0.02
 1959      0.03      0.03
 1960     -0.03      0.03
 1961      0.05      0.03
 1962      0.03     -0.02
 1963      0.06     -0.03
 1964     -0.21     -0.05
 1965     -0.10     -0.06
 1966     -0.05     -0.09
 1967     -0.02     -0.04
 1968     -0.07     -0.01
 1969      0.06     -0.02
 1970      0.03     -0.01
 1971     -0.09      0.03
 1972      0.01      0.00
 1973      0.15     -0.01
 1974     -0.08     -0.01
 1975     -0.01      0.03
 1976     -0.11      0.01
 1977      0.18      0.06
 1978      0.07      0.12
 1979      0.17      0.20
 1980      0.28      0.19
 1981      0.33      0.24
 1982      0.13      0.24
 1983      0.31      0.21
 1984      0.16      0.18
 1985      0.12      0.22
 1986      0.19      0.24
 1987      0.34      0.27
 1988      0.40      0.33
 1989      0.29      0.38
 1990      0.44      0.36
 1991      0.43      0.33
 1992      0.23      0.33
 1993      0.24      0.34
 1994      0.32      0.32
 1995      0.46      0.37
 1996      0.35      0.45
 1997      0.48      0.47
 1998      0.64      0.46
 1999      0.42      0.50
 2000      0.42      0.53
 2001      0.55      0.53
 2002      0.63      0.55
 2003      0.62      0.61
 2004      0.55      0.62
 2005      0.69      0.63
 2006      0.63      0.61
 2007      0.66      0.63
 2008      0.54      0.64
 2009      0.65      0.63
 2010      0.72      0.63
 2011      0.61      0.65
 2012      0.63      0.67
 2013      0.66        NA
 2014      0.75        NA
 2015        NA        NA
